name,language,frequency
Heinrich,de,21
Riedel,de,20
Geiger,de,20
Böhme,de,20
Adler,de,20
Bergmann,de,20
Schultz,de,20
Wunderlich,de,20
Haase,de,20
Thiele,de,20
Hansen,de,20
Schuster,de,20
Unger,de,20
Kühn,de,20
Kramer,de,20
Lindner,de,20
Pfeiffer,de,19
Ernst,de,19
Mohr,de,19
Heine,de,19
Wilhelm,de,19
Naumann,de,19
Schmitz,de,19
Maier,de,19
Arndt,de,19
Paul,de,18
Graf,de,18
Franck,de,18
Zimmer,de,18
Westphal,de,18
Beer,de,18
Gerhardt,de,18
Körner,de,17
Kern,de,17
Schröter,de,17
Hesse,de,17
Schramm,de,17
Seifert,de,17
Voss,de,17
Seitz,de,17
Jacob,de,17
Bachmann,de,16
Voigt,de,16
Mayr,de,16
Böhm,de,16
Noack,de,16
Frey,de,16
Miller,de,16
Lutz,de,16
Petersen,de,16
Stephan,de,16
Faber,de,16
Weise,de,15
Seidel,de,15
Kuhn,de,15
Baum,de,15
Reuter,de,15
Schultze,de,15
Fritsch,de,15
Rudolph,de,15
Kruse,de,15
Eichhorn,de,15
Rauch,de,15
Huth,de,15
Krebs,de,15
Albert,de,15
Götz,de,14
Buchner,de,14
Michel,de,14
Busse,de,14
Fink,de,14
Sander,de,14
Reimann,de,14
Hensel,de,14
Ulrich,de,14
Kirchner,de,14
Rosenthal,de,14
Geyer,de,14
Moser,de,14
Maurer,de,14
Peter,de,14
Kühne,de,14
Rose,de,14
Uhlig,de,14
Zander,de,14
Marx,de,14
Siebert,de,14
Jordan,de,14
Philipp,de,14
Stumpf,de,14
Hoppe,de,14
Ebert,de,14
Hildebrand,de,13
May,de,13
Thieme,de,13
John,de,13
Kittel,de,13
Cramer,de,13
Stark,de,13
Engelhardt,de,13
Jensen,de,13
Nicolai,de,13
Lindemann,de,13
Brendel,de,13
Langen,de,13
Krämer,de,13
Bode,de,13
Behrens,de,13
Schiller,de,13
Smith,en,579
Johnson,en,425
Williams,en,383
Brown,en,345
Jones,en,327
Miller,en,302
Davis,en,295
Wilson,en,223
Anderson,en,220
Taylor,en,209
Moore,en,185
Jackson,en,178
Thomas,en,173
Thompson,en,171
Harris,en,169
White,en,169
Allen,en,161
Hall,en,159
Lewis,en,148
Walker,en,148
Clark,en,146
Robinson,en,144
Hill,en,144
Martin,en,142
Young,en,139
King,en,133
Green,en,130
Lee,en,129
Scott,en,128
Adams,en,126
Wright,en,121
Baker,en,115
Mitchell,en,109
Roberts,en,106
Murphy,en,105
Nelson,en,102
Parker,en,101
Collins,en,100
Morris,en,97
Campbell,en,96
James,en,93
Bell,en,90
Howard,en,90
Kelly,en,89
Turner,en,85
Evans,en,85
Carter,en,81
Alexander,en,81
Edwards,en,80
Gordon,en,79
Stewart,en,78
Russell,en,77
Phillips,en,77
Hamilton,en,77
Cooper,en,76
Stevens,en,76
Sullivan,en,75
Ford,en,75
Rogers,en,75
Brooks,en,74
Ross,en,73
Reed,en,73
Coleman,en,72
Wood,en,71
Richardson,en,70
Ryan,en,70
Watson,en,69
Stone,en,69
Morgan,en,68
Peterson,en,68
Cook,en,67
Porter,en,67
Henderson,en,66
Fisher,en,66
Bennett,en,66
Marshall,en,66
Long,en,66
Ward,en,65
Bailey,en,64
Hughes,en,64
Foster,en,63
Gray,en,63
Cohen,en,62
Fox,en,61
Hart,en,61
Holmes,en,61
Jordan,en,60
Carpenter,en,60
Graham,en,60
Patterson,en,60
Palmer,en,59
Cox,en,59
Murray,en,59
Kennedy,en,59
Freeman,en,58
Butler,en,58
O'Brien,en,58
Walsh,en,58
Bradley,en,57
Wallace,en,57
Harrison,en,56
Wells,en,56
Jenkins,en,55
Hunt,en,55
Gibson,en,55
Black,en,55
Grant,en,54
West,en,54
Ellis,en,54
Greene,en,53
Henry,en,53
Lane,en,53
Snyder,en,53
Friedman,en,53
Rice,en,53
Andrews,en,53
Barnes,en,52
Reynolds,en,52
Bryant,en,52
McDonald,en,52
Price,en,52
Shaw,en,51
Rose,en,51
Clarke,en,51
Tucker,en,51
Simmons,en,51
Armstrong,en,50
Hunter,en,50
Lawrence,en,49
Washington,en,48
Knight,en,48
